X, Y, u, Z, Xx, Xy, Xz, Yx, Yy, Yz, Zx, Zy, Zz
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
0.999998, 0.00166667, 1, 0, 0.999994, 0.00333333, 0, -0.00333333, 0.999994, 0, 0, 0, 1
1.99999, 0.00666664, 2, 0, 0.999978, 0.00666661, 0, -0.00666661, 0.999978, 0, 0, 0, 1
2.99995, 0.0149999, 3, 0, 0.99995, 0.00999983, 0, -0.00999983, 0.99995, 0, 0, 0, 1
3.99988, 0.0266663, 4, 0, 0.999911, 0.0133329, 0, -0.0133329, 0.999911, 0, 0, 0, 1
4.99977, 0.0416657, 5, 0, 0.999861, 0.0166659, 0, -0.0166659, 0.999861, 0, 0, 0, 1
5.9996, 0.059998, 6, 0, 0.9998, 0.0199987, 0, -0.0199987, 0.9998, 0, 0, 0, 1
6.99936, 0.081663, 7, 0, 0.999728, 0.0233312, 0, -0.0233312, 0.999728, 0, 0, 0, 1
7.99905, 0.10666, 8, 0, 0.999644, 0.0266635, 0, -0.0266635, 0.999644, 0, 0, 0, 1
8.99865, 0.13499, 9, 0, 0.99955, 0.0299955, 0, -0.0299955, 0.99955, 0, 0, 0, 1
9.99815, 0.166651, 10, 0, 0.999444, 0.0333271, 0, -0.0333271, 0.999444, 0, 0, 0, 1
10.9975, 0.201644, 11, 0, 0.999328, 0.0366584, 0, -0.0366584, 0.999328, 0, 0, 0, 1
11.9968, 0.239968, 12, 0, 0.9992, 0.0399893, 0, -0.0399893, 0.9992, 0, 0, 0, 1
12.9959, 0.281623, 13, 0, 0.999061, 0.0433198, 0, -0.0433198, 0.999061, 0, 0, 0, 1
13.9949, 0.326607, 14, 0, 0.998911, 0.0466497, 0, -0.0466497, 0.998911, 0, 0, 0, 1
14.9938, 0.374922, 15, 0, 0.99875, 0.0499791, 0, -0.0499791, 0.99875, 0, 0, 0, 1
15.9924, 0.426566, 16, 0, 0.998578, 0.053308, 0, -0.053308, 0.998578, 0, 0, 0, 1
16.9909, 0.481538, 17, 0, 0.998395, 0.0566363, 0, -0.0566363, 0.998395, 0, 0, 0, 1
